,author,title,year,Categories Y-Yes; N-No; TBC-to be confirmed with full-text reading,Reason,Data encoding status,Note,
45,"Cerchiara, JA and Risques, RA and Prunkard, D and Smith, JR and Kane, OJ and Boersma, PD","Magellanic penguin telomeres do not shorten with age with increased reproductive effort, investment, and basal corticosterone",2017,N,Not trans-generational,,,
46,"Galloway, LF and Etterson, JR",Transgenerational plasticity is adaptive in the wild,2007,N,Not bird & ageing,,,
47,"Dudycha, JL",The senescence of Daphnia from risky and safe habitats,2001,N,Not bird,,,
48,"Zhao, Q and Tan, CL and Pan, WS","Weaning age, infant care, and behavioral development in Trachypithecus leucocephalus",2008,N,Not bird,,,
49,"Postma, M and Bester, MN and de Bruyn, PJN",Age-related reproductive variation in a wild marine mammal population,2013,N,Not bird,,,
50,"Kruger, O",Age at first breeding and fitness in goshawk Accipiter gentilis,2005,N,Not trans-generational,,,
51,"Ericsson, G and Wallin, K",Age-specific moose (Alces alces) mortality in a predator-free environment: Evidence for senescence in females,2001,N,Not bird,,,
52,"Froy, H and Lewis, S and Nussey, DH and Wood, AG and Phillips, RA",Contrasting drivers of reproductive ageing in albatrosses,2017,N,Not trans-generational,,,
53,"Beehner, JC and Gesquiere, L and Seyfarth, RM and Cheney, DL and Alberts, SC and Altmann, J",Testosterone related to age and life-history stages in male baboons and geladas,2009,N,Not bird,,,
54,"Foote, CG and Daunt, F and Gonzalez-Solis, J and Nasir, L and Phillips, RA and Monaghan, P","Individual state and survival prospects: age, sex, and telomere length in a long-lived seabird",2011,N,Not trans-generational,,,
55,"ROCKWELL, RF and COOCH, EG and THOMPSON, CB and COOKE, F","AGE AND REPRODUCTIVE SUCCESS IN FEMALE LESSER SNOW GEESE - EXPERIENCE, SENESCENCE AND THE COST OF PHILOPATRY",1993,N,Not trans-generational,,,
56,"Bebbington, K and Spurgin, LG and Fairfield, EA and Dugdale, HL and Komdeur, J and Burke, T and Richardson, DS",Telomere length reveals cumulative individual and transgenerational inbreeding effects in a passerine bird,2016,N,Not ageing,,,
57,"Heidinger, BJ and Herborn, KA and Granroth-Wilding, HMV and Boner, W and Burthe, S and Newell, M and Wanless, S and Daunt, F and Monaghan, P",Parental age influences offspring telomere loss,2016,Y,,Y,,
58,"Froy, H and Phillips, RA and Wood, AG and Nussey, DH and Lewis, S",Age-related variation in reproductive traits in the wandering albatross: evidence for terminal improvement following senescence,2013,N,Not trans-generational,,,
59,"Bouwhuis, S and Sheldon, BC and Verhulst, S and Charmantier, A",Great tits growing old: selective disappearance and the partitioning of senescence to stages within the breeding cycle,2009,N,Not trans-generational,,,
60,"Boonekamp, JJ and Bauch, C and Verhulst, S",Experimentally increased brood size accelerates actuarial senescence and increases subsequent reproductive effort in a wild bird population,2020,TBC - N,Not trans-generational,N,,
61,"Bouwhuis, S and Charmantier, A and Verhulst, S and Sheldon, BC",Individual variation in rates of senescence: natal origin effects and disposable soma in a wild bird population,2010,N,Not trans-generational,,,
62,"Hastings, KK and Jemison, LA and Pendleton, GW","Survival of adult Steller sea lions in Alaska: senescence, annual variation and covariation with male reproductive success",2018,N,Not bird,,,
63,"Allal, N and Sear, R and Prentice, AM and Mace, R","An evolutionary model of stature, age at first birth and reproductive success in Gambian women",2004,N,Not bird,,,
64,"Oro, D and Torres, R and Rodriguez, C and Drummond, H",Climatic influence on demographic parameters of a tropical seabird varies with age and sex,2010,N,Not trans-generational,,,
65,"Pardo, D and Barbraud, C and Weimerskirch, H",What shall I do now? State-dependent variations of life-history traits with aging in Wandering Albatrosses,2014,N,Not trans-generational,,,
66,"Kroeger, SB and Blumstein, DT and Martin, JGA",How social behaviour and life-history traits change with age and in the year prior to death in female yellow-bellied marmots,2021,N,Not bird,,,
67,"Douhard, M and Festa-Bianchet, M and Pelletier, F",Sons accelerate maternal aging in a wild mammal,2020,N,Not bird,,,
68,"Fay, R and Barbraud, C and Delord, K and Weimerskirch, H",Paternal but not maternal age influences early-life performance of offspring in a long-lived seabird,2016,Y,,Y,,
69,"Weithman, C and Gibson, D and Hunt, K and Friedrich, M and Fraser, J and Karpanty, S and Catlin, D","Senescence and carryover effects of reproductive performance influence migration, condition, and breeding propensity in a small shorebird",2017,N,Not trans-generational,,,
70,"Hamel, S and Craine, JM and Towne, EG","Maternal allocation in bison: co-occurrence of senescence, cost of reproduction, and individual quality",2012,N,Not bird,,,
71,"MARTIN, K",PATTERNS AND MECHANISMS FOR AGE-DEPENDENT REPRODUCTION AND SURVIVAL IN BIRDS,1995,N,Not trans-generational,,,
72,"Bouwhuis, S and van Noordwijk, AJ and Sheldon, BC and Verhulst, S and Visser, ME",Similar patterns of age-specific reproduction in an island and mainland population of great tits Parus major,2010,N,Not trans-generational,,,
73,"Johnston, SE and Orell, P and Pritchard, VL and Kent, MP and Lien, S and Niemela, E and Erkinaro, J and Primmer, CR",Genome-wide SNP analysis reveals a genetic basis for sea-age variation in a wild population of Atlantic salmon (Salmo salar),2014,N,Not trans-generational,,,
74,"Haussmann, MF and Mauck, RA",New strategies for telomere-based age estimation,2008,N,Not trans-generational,,,
